project,summary,skills,key_features,concepts,project_type,github_url
redash,"Redash is a platform that enables users to connect to any data source, visualize, dashboard, and share data. It allows SQL users to explore, query, and visualize data, making it accessible to anyone in the organization. Redash features a browser-based interface and ease-of-use, enabling users to become productive with data without needing to master complex software. It helps organizations make data-driven decisions.","[""Python"", ""JavaScript""]","[""Data Visualization"", ""Dashboard"", ""Data Sharing""]","[""Data Analytics"", ""Business Intelligence"", ""SQL""]",Business Intelligence Platform,https://github.com/getredash/redash
postgrest,"PostgREST is a REST API for any Postgres database, providing a cleaner, more standards-compliant, and faster API. It serves a fully RESTful API from any existing PostgreSQL database.","[""Haskell"", ""Postgres"", ""REST API""]","[""Automatic API generation"", ""RESTful API""]","[""REST API"", ""API""]",API Server,https://github.com/PostgREST/postgrest
analytics,"Plausible Analytics is an open source, privacy-first web analytics tool, serving as a lightweight, cookie-free alternative to Google Analytics. It is available in managed cloud or self-hosted community edition and is GDPR, CCPA, PECR compliant. The project focuses on providing a privacy-focused solution for web analytics.","[""Elixir"", ""Phoenix"", ""PostgreSQL"", ""Tailwind CSS""]","[""Web analytics"", ""Cookie-free tracking"", ""Self-hosted option"", ""Cloud managed option""]","[""Privacy-first"", ""GDPR compliance"", ""CCPA compliance"", ""PECR compliance""]",Web Analytics,https://github.com/plausible/analytics
Chat2DB,"Chat2DB is an AI-driven database tool and SQL client that supports multiple databases, including MySQL, Oracle, PostgreSQL, and more. It provides a GUI client for effortless data management. The project also introduces Nubase, a deployment layer for Artificial Intelligence-native applications.","[""Java"", ""MySQL"", ""Oracle"", ""PostgreSQL"", ""DB2"", ""SQL Server"", ""SQLite"", ""H2"", ""ClickHouse"", ""Redis""]","[""AI-powered database client"", ""SQL workspace"", ""Multi-database support""]","[""AI"", ""Database Management"", ""SQL""]",Database Tool,https://github.com/OtterMind/Chat2DB
beekeeper-studio,"Beekeeper Studio is a modern and easy to use SQL client for various databases, available for Linux, MacOS, and Windows. It provides a cross-platform SQL editor and database manager with both free and premium features. The application supports multiple databases including MySQL, Postgres, SQLite, and SQL Server. It is built using TypeScript and Electron.","[""TypeScript"", ""Electron"", ""MySQL"", ""Postgres"", ""SQLite"", ""SQL Server""]","[""SQL editor"", ""database manager"", ""cross-platform support""]","[""Database management"", ""SQL""]",Database client,https://github.com/beekeeper-studio/beekeeper-studio
timescaledb,"TimescaleDB is a PostgreSQL extension for high-performance real-time analytics on time-series and event data. It is designed for high-performance and scalability. TimescaleDB is suitable for various use cases such as financial analysis, IoT, and more. It can be used to create hypertables and run analytics in under 10 minutes.","[""C"", ""Postgres"", ""SQL"", ""PostgreSQL""]","[""Time-series database"", ""Real-time analytics"", ""Hypertable creation""]","[""Time-series database"", ""Real-time analytics""]",Database,https://github.com/timescale/timescaledb
chartdb,"Chartdb is a database diagrams editor that allows users to visualize and design their database with a single query. It supports various databases such as MySQL, PostgreSQL, and SQLite. The editor provides a simple and intuitive way to create and manage database diagrams. It is built using TypeScript and React.","[""TypeScript"", ""React""]","[""Database diagram editing"", ""Single query design"", ""Multi-database support""]","[""Database Visualization"", ""SQL""]",Database Tool,https://github.com/chartdb/chartdb
neon,"Neon is a serverless Postgres database that separates storage and compute to offer autoscaling, code-like database branching, and scale to zero. It consists of compute nodes and the Neon storage engine. Compute nodes are stateless PostgreSQL nodes backed by the Neon storage engine.","[""Rust"", ""Postgres"", ""PostgreSQL""]","[""Autoscaling"", ""Database branching"", ""Scale to zero""]","[""Serverless"", ""Stateless""]",Database,https://github.com/neondatabase/neon
airbyte,"Airbyte is an open-source data movement platform for ELT pipelines and AI agents, supporting both self-hosted and cloud deployments. It enables data transfer from various sources such as APIs, databases, and files to warehouses, lakes, and AI applications. The platform supports multiple data sources and destinations, including bigquery, mssql, mysql, postgresql, redshift, s3, and snowflake. It is designed for data engineering and integration use cases.","[""Python"", ""Java""]","[""Data movement"", ""ELT pipelines"", ""AI agents"", ""Data integration""]","[""Data pipeline"", ""Data engineering"", ""Data integration"", ""Cloud""]",Data integration platform,https://github.com/airbytehq/airbyte
teable,"Teable is a no-code Airtable alternative that uses a simple spreadsheet-like interface to create powerful database applications, allowing real-time collaboration and scalability to millions of rows.","[""TypeScript"", ""Postgres"", ""SQLite""]","[""Spreadsheet-like interface"", ""Real-time collaboration"", ""Scalability to millions of rows""]","[""No-Code"", ""Realtime"", ""Database""]",No-Code Database Application,https://github.com/teableio/teable
postgres,"PostgreSQL is an advanced object-relational database management system that supports an extended subset of the SQL standard. It includes features such as transactions, foreign keys, subqueries, triggers, and user-defined types and functions. The system is written in C and includes C language bindings. It is a comprehensive database management system.","[""C"", ""SQL""]","[""Database Management"", ""Transactions"", ""Foreign Keys"", ""Subqueries"", ""Triggers""]","[""Database Management System"", ""SQL"", ""Transactions""]",Database Management System,https://github.com/postgres/postgres
shardingsphere,"ShardingSphere is a distributed SQL ecosystem that empowers data intelligence with sharding, scalability, and security across all databases. It provides a standardized framework for enterprise data architecture transformation. The project supports various databases, including MySQL and PostgreSQL. It also features data encryption, read-write splitting, and distributed transactions.","[""Java"", ""MySQL"", ""PostgreSQL""]","[""Distributed SQL"", ""Sharding"", ""Scalability"", ""Security"", ""Data Encryption"", ""Read-Write Splitting"", ""Distributed Transactions""]","[""Distributed Database"", ""Database Clustering"", ""Database Gateway"", ""Database Middleware"", ""Distributed Transaction""]",Database Management System,https://github.com/apache/shardingsphere
knex,"A query builder for various databases, designed to be flexible, portable, and fun to use. It features transactions, connection pooling, and streaming queries. It supports PostgreSQL, MySQL, CockroachDB, SQL Server, SQLite3, and Oracle. It is designed for Node.js.","[""JavaScript"", ""PostgreSQL"", ""MySQL"", ""SQL"", ""SQLite3""]","[""transactions"", ""connection pooling"", ""streaming queries""]","[""Database Querying""]",Database Library,
cube,"Cube Core is an open-source semantic layer for AI, BI, and embedded analytics. It provides a platform for building analytics applications. The project utilizes Rust as its primary programming language. Cube Core supports various databases, including BigQuery, MySQL, Postgres, and Snowflake.","[""Rust"", ""BigQuery"", ""MySQL"", ""Postgres"", ""Snowflake"", ""SQL""]","[""Semantic Layer"", ""AI"", ""BI"", ""Embedded Analytics""]","[""Semantic Layer"", ""Analytics""]",Analytics Platform,https://github.com/cube-js/cube
APIJSON,"APIJSON is a real-time, no-code, powerful, and secure ORM library that provides APIs and documentation without requiring coding from the backend. It allows frontend clients to customize response JSONs. The project supports various databases and provides a low-code solution for backend development.","[""Java"", ""ClickHouse"", ""Elasticsearch"", ""Hadoop"", ""Hive"", ""InfluxDB"", ""Milvus"", ""Oracle"", ""PostgreSQL"", ""SQLServer"", ""TDengine"", ""TiDB""]","[""No-code ORM"", ""Real-time APIs"", ""Customizable response JSONs"", ""Multi-database support""]","[""ORM"", ""Low-code"", ""No-code"", ""Real-time APIs"", ""REST API""]",Backend Framework,https://github.com/Tencent/APIJSON
mybatis-plus,MyBatis-Plus is a powerful enhanced toolkit of MyBatis for simplifying development. It provides a set of tools to simplify the development process. The project aims to make development easier and more efficient. It supports various databases including MySQL and PostgreSQL.,"[""Java"", ""MyBatis"", ""MySQL"", ""PostgreSQL""]","[""ORM framework"", ""Toolkit for MyBatis""]","[""ORM""]",Database Toolkit,https://github.com/baomidou/mybatis-plus
sqlx,"SQLx is a Rust SQL toolkit that provides an async, pure Rust SQL crate with compile-time checked queries. It supports PostgreSQL, MySQL, and SQLite databases. The project utilizes Rust's async/await functionality for efficient database interactions. SQLx aims to simplify database operations in Rust applications.","[""Rust"", ""SQL""]","[""Async database queries"", ""Compile-time checked queries"", ""Multi-database support""]","[""Async/Await"", ""SQL""]",Database Library,https://github.com/transact-rs/sqlx
questdb,"QuestDB is a high-performance, open-source time-series database offering fast ingestion and low-latency SQL queries. It delivers a multi-tier storage engine and achieves high performance via a column-oriented storage model and parallelized vector execution. QuestDB is hardware efficient with quick setup and operational efficiency. It is suitable for real-time analytics and financial analysis.","[""Java"", ""C++"", ""Rust"", ""SQL"", ""PostgreSQL"", ""Parquet""]","[""time-series database"", ""multi-tier storage engine"", ""column-oriented storage model"", ""parallelized vector execution"", ""low-latency SQL queries""]","[""Time-Series Database"", ""Column-Oriented Storage"", ""SIMD"", ""Low-Latency"", ""Real-Time Analytics""]",Database,https://github.com/questdb/questdb
windmill,"Windmill is an open-source developer platform for powering infrastructure and turning scripts into webhooks, workflows, and UIs. It is a self-hostable alternative to Retool, Pipedream, and Temporal, with a focus on low-code development. The platform supports multiple programming languages and has a fast workflow engine. It allows for the creation of internal apps and custom UIs to trigger workflows and scripts.","[""Rust"", ""Python"", ""TypeScript"", ""PostgreSQL""]","[""workflow engine"", ""webhooks"", ""UI generation"", ""low-code development""]","[""Low-code"", ""Self-hostable"", ""Workflow engine"", ""APIs""]",Developer Platform,https://github.com/windmill-labs/windmill
WrenAI,"WrenAI is an open-source project that enables generative BI for AI agents. It uses a context layer to turn natural-language questions into trusted dashboards, charts, and SQL across multiple data sources. The project supports 20+ data sources, including BigQuery, Snowflake, and PostgreSQL. It allows agents to generate, deploy, and govern dashboards from any database.","[""Python""]","[""Text-to-SQL"", ""Text-to-chart"", ""Dashboard generation""]","[""REST API"", ""SQL"", ""RAG"", ""Natural Language Processing""]",Artificial Intelligence,https://github.com/Canner/WrenAI
Qix,"A project utilizing Machine Learning and Deep Learning with PostgreSQL and Distributed Systems, built with Node.js and Golang.","[""Node.js"", ""Golang"", ""PostgreSQL""]","[""Distributed System"", ""Distributed Database""]","[""Machine Learning"", ""Deep Learning"", ""Distributed System""]",Machine Learning,https://github.com/ty4z2008/Qix
open-saas,"A 100% free modern JS SaaS boilerplate with full-featured authentication, email sending, background jobs, and payments. It is AI-ready and powered by the Wasp full-stack framework. The project uses a variety of technologies including React, NodeJS, and Prisma. It also supports one command deployment.","[""JavaScript"", ""React"", ""NodeJS"", ""Prisma"", ""TypeScript"", ""PostgreSQL""]","[""Authentication"", ""Email sending"", ""Background jobs"", ""Landing page"", ""Payments"", ""S3 file upload""]","[""Authentication"", ""REST API"", ""CI/CD"", ""Microservices"", ""Machine Learning"", ""AI""]",SaaS Boilerplate,https://github.com/wasp-lang/open-saas
diesel,"Diesel is a safe, extensible ORM and Query Builder for Rust, eliminating runtime errors without sacrificing performance. It supports PostgreSQL, MySQL, and SQLite databases.","[""Rust"", ""MySQL"", ""PostgreSQL"", ""SQLite""]","[""ORM"", ""Query Builder""]","[""ORM""]",Database Library,https://github.com/diesel-rs/diesel
grafana,"Grafana is an open and composable observability and data visualization platform. It allows users to visualize metrics, logs, and traces from multiple sources. The platform provides features like dynamic dashboards, exploratory metrics, and alerting. It supports various data sources such as Prometheus, Loki, Elasticsearch, and Postgres.","[""TypeScript"", ""Go"", ""Elasticsearch"", ""InfluxDB"", ""Postgres"", ""Prometheus"", ""MySQL""]","[""Visualizations"", ""Dynamic Dashboards"", ""Explore Metrics"", ""Alerting""]","[""Data Visualization"", ""Monitoring"", ""Metrics"", ""Alerting"", ""Observability""]",Observability Platform,https://github.com/grafana/grafana
tidb,"TiDB is a cloud-native, distributed SQL database designed for high availability and scalability, with support for transactions, analytics, and vector search. It is built to handle unpredictable workloads and provides ACID guarantees. TiDB is designed to eliminate data silos, noisy neighbors, and infrastructure ceilings. It is compatible with MySQL and supports distributed transactions.","[""Go"", ""MySQL"", ""SQL""]","[""Distributed Database"", ""Transactions"", ""Analytics"", ""Vector Search""]","[""Distributed Database"", ""ACID"", ""Cloud Native"", ""Horizontal Scaling"", ""Vertical Scaling"", ""SQL"", ""Vector Search""]",Database,https://github.com/pingcap/tidb
canal,Canal is a MySQL binlog incremental subscription and consumption component developed by Alibaba. It is used for data synchronization and replication. The project is written in Java and provides a reliable and efficient way to subscribe to and consume MySQL binlog data. It is designed for large-scale distributed systems.,"[""Java""]","[""MySQL binlog incremental subscription"", ""data consumption""]","[""Data Synchronization"", ""Replication""]",Data Integration,https://github.com/alibaba/canal
toBeTopJavaer,"A Java project providing a roadmap for Java engineers to improve their skills, including a collection of interview questions and knowledge points. The project is constantly being updated and provides an online reading experience through GitHub Pages.","[""Java"", ""Spring"", ""MySQL""]","[""Interview questions"", ""Knowledge points"", ""Roadmap for Java engineers""]","[""Design patterns""]",Education,https://github.com/hollischuang/toBeTopJavaer
dolt,"Dolt is a SQL database that provides Git-like version control functionality for data. It allows users to fork, clone, branch, merge, push, and pull data just like a Git repository. Dolt supports MySQL and can be connected to like any other MySQL database. It also provides a Git-like command line interface for importing CSV files, committing changes, and merging data.","[""Go"", ""MySQL"", ""SQL""]","[""Version control for data"", ""Git-like command line interface"", ""Support for MySQL""]","[""Version control"", ""Database versioning"", ""Immutable database"", ""Decentralized database""]",Database management,https://github.com/dolthub/dolt
matomo,"Matomo is an open-source alternative to Google Analytics, providing a platform for collecting, visualizing, and analyzing data from websites and apps while prioritizing user privacy.","[""PHP"", ""MySQL""]","[""Data Collection"", ""Data Visualization"", ""Data Analysis""]","[""Analytics"", ""Privacy""]",Web Analytics,https://github.com/matomo-org/matomo
vitess,"Vitess is a database clustering system for horizontal scaling of MySQL, built with a cloud-native approach. It is designed to work with Kubernetes and supports sharding. The system is written in Go and is part of the CNCF ecosystem. Vitess aims to provide a scalable and distributed database solution.","[""Go"", ""MySQL"", ""Kubernetes""]","[""Database Clustering"", ""Horizontal Scaling"", ""Sharding""]","[""Distributed System"", ""Cloud-Native"", ""CI/CD"", ""Scalability""]",Database Management System,https://github.com/vitessio/vitess
yudao-cloud,"yudao-cloud is a cloud-based backend management system and user mini-program built with Spring Cloud Alibaba, MyBatis Plus, and Vue & Element. It supports various features such as RBAC dynamic permissions, multi-tenancy, data permissions, workflow, third-party login, payment, SMS, mall, CRM, ERP, MES, IM, AI large model, and IoT. The project is open-sourced and has no commercial version.","[""Java"", ""Spring Cloud"", ""Spring Cloud Alibaba"", ""MyBatis Plus"", ""Vue"", ""Element"", ""MySQL"", ""Redis"", ""Elasticsearch"", ""RocketMQ"", ""Nacos"", ""Seata"", ""Sharding-Sphere"", ""Skywalking"", ""Zookeeper"", ""Dubbo"", ""Xxl-job""]","[""Backend management system"", ""User mini-program"", ""RBAC dynamic permissions"", ""Multi-tenancy"", ""Data permissions"", ""Workflow"", ""Third-party login"", ""Payment"", ""SMS"", ""Mall"", ""CRM"", ""ERP"", ""MES"", ""IM"", ""AI large model"", ""IoT""]","[""Microservices"", ""Cloud Computing"", ""Distributed Transaction"", ""Service Discovery"", ""Configuration Management"", ""Message Queue"", ""Authentication"", ""Authorization"", ""CI/CD""]",Cloud-based Backend Management System,https://github.com/YunaiV/yudao-cloud
mysql,"A pure Node.js JavaScript Client implementing the MySQL protocol, allowing for connections to MySQL databases. It provides features such as connection pooling and SSL options. The client is built using JavaScript and is compatible with Node.js. It is a database driver for MySQL.","[""JavaScript"", ""Node.js"", ""MySQL""]","[""Connection pooling"", ""SSL options"", ""Connection flags""]","[""Database driver"", ""Connection pooling""]",Database driver,https://github.com/mysqljs/mysql
toBeBetterJavaer,"A Java learning guide covering Java basics, concurrency, virtual machine, enterprise development, and interview preparation. It provides a comprehensive overview of Java knowledge points. The project aims to help learners improve their Java skills. It covers various topics, including Java, JVM, MySQL, Redis, and Spring Boot.","[""Java"", ""MySQL"", ""Redis"", ""Spring Boot""]","[""Java basics"", ""Java concurrency"", ""Java virtual machine"", ""Java enterprise development"", ""Java interview preparation""]","[""Java Virtual Machine""]",Learning Guide,https://github.com/itwanger/toBeBetterJavaer
mysql,"A MySQL driver for Go's database/sql package, allowing Go applications to interact with MySQL databases.","[""Go"", ""MySQL"", ""SQL""]","[""Database connection"", ""SQL query execution""]","[""Database"", ""SQL""]",Database Driver,https://github.com/go-sql-driver/mysql
flink-learning,"A Flink learning blog with tutorials, case studies, and performance optimization techniques. It covers various topics such as Flink Connector, Metrics, Library, DataStream API, Table API & SQL, and more. The project also includes large-scale project cases like PVUV, log storage, and real-time data deduplication.","[""Java"", ""Flink"", ""Kafka"", ""Elasticsearch"", ""Clickhouse"", ""HBase"", ""InfluxDB"", ""MySQL"", ""OpenTSDB"", ""RabbitMQ"", ""Redis"", ""RocketMQ"", ""Spark""]","[""Flink Connector"", ""Metrics"", ""Library"", ""DataStream API"", ""Table API & SQL"", ""Real-time data processing"", ""Log storage"", ""Data deduplication""]","[""Stream-processing"", ""Streaming"", ""Real-time computing"", ""Performance optimization"", ""Distributed systems""]",Big Data,https://github.com/zhisheng17/flink-learning
workflow,"Sogou C++ Workflow is a C++ parallel computing and asynchronous networking framework, serving as Sogou's C++ server engine. It supports various back-end C++ online services, handling over 10 billion requests daily. This enterprise-level programming engine is designed to be lightweight and elegant. It is used for multiple services including search, cloud input method, and online advertisements.","[""C++"", ""Consul"", ""Kafka"", ""MySQL"", ""Redis"", ""HTTP""]","[""Parallel Computing"", ""Asynchronous Networking""]","[""Distributed Computing"", ""Asynchronous Programming"", ""Microservices""]",Server Engine,https://github.com/sogou/workflow
redis,"Redis is a cache, data structure server, and document and vector query engine for building real-time data-driven applications. It is the preferred, fastest, and most feature-rich solution. Redis provides key-value storage, message brokering, and time-series data handling. It is an open-source, in-memory database with support for JSON and vector search.","[""C"", ""NoSQL"", ""JSON""]","[""cache"", ""data structure server"", ""document and vector query engine"", ""message broker"", ""time-series data handling""]","[""Caching"", ""In-Memory Database"", ""Key-Value Store"", ""Message Queue"", ""NoSQL"", ""Real-time Data Processing"", ""Vector Search""]",Database,https://github.com/redis/redis
AnotherRedisDesktopManager,"A faster, better, and more stable Redis desktop manager compatible with Linux, Windows, and Mac. It is designed to handle massive keys without crashing.","[""JavaScript""]","[""Redis desktop management"", ""GUI client"", ""Compatibility with Linux, Windows, and Mac""]","[""Redis"", ""Redis Cluster""]",Desktop Application,https://github.com/qishibo/AnotherRedisDesktopManager
dragonfly,"Dragonfly is a modern replacement for Redis and Memcached, providing an in-memory database and key-value store. It is designed to be highly performant and scalable. The project utilizes C++ and supports features like multi-threading and vector search. It aims to provide a robust alternative to traditional caching solutions.","[""C++"", ""key-value store"", ""in-memory database"", ""nosql""]","[""in-memory caching"", ""key-value store"", ""multi-threading"", ""vector search""]","[""In-Memory Database"", ""Key-Value Store"", ""Caching"", ""Multi-Threading"", ""Vector Search""]",Database/Caching System,https://github.com/dragonflydb/dragonfly
celery,"Celery is a distributed task queue that allows you to run time-consuming tasks asynchronously in the background. It supports various message brokers such as RabbitMQ, Redis, and Amazon SQS. Celery provides a flexible and scalable way to manage tasks and workers. It is written in Python and has a wide range of applications.","[""Python"", ""AMQP"", ""Redis"", ""RabbitMQ"", ""SQS""]","[""Distributed task queue"", ""Asynchronous task execution"", ""Support for multiple message brokers""]","[""Distributed Systems"", ""Message Queue"", ""Asynchronous Programming"", ""Task Scheduling""]",Task Queue,https://github.com/celery/celery
CS-Books,"A collection of over 1000 computer science classic books, personal notes, and resources. The collection covers a wide range of topics including programming languages, data structures, algorithms, databases, and operating systems.","[""C"", ""C++"", ""Java"", ""Python"", ""JavaScript"", ""SQL"", ""Redis""]","[""Book collection"", ""Personal notes"", ""Resource sharing""]","[""Algorithms"", ""Data structures"", ""Databases""]",Resource repository,https://github.com/forthespada/CS-Books
valkey,Valkey is a flexible distributed key-value database optimized for caching and real-time workloads. It is a high-performance data structure server that supports native structures and an extensible plugin system. Valkey is compatible with various operating systems and architectures. It is a fork of the open-source Redis project.,"[""C"", ""NoSQL""]","[""key-value store"", ""caching"", ""real-time workloads"", ""plugin system""]","[""Distributed Database"", ""Caching"", ""Key-Value Store""]",Database,https://github.com/valkey-io/valkey
redisson,"Redisson is a Java client and real-time data platform for Valkey and Redis, providing additional services and data structures. It offers a range of features including distributed Java collections, objects, and service implementations. Redisson is compatible with JDK 1.8+ and the latest versions of Redis and Valkey. It also supports Android and provides a thread-safe implementation.","[""Java"", ""Redis"", ""Valkey""]","[""Distributed Java collections"", ""Distributed locks"", ""Map"", ""Queue"", ""Scheduler"", ""Cache""]","[""Distributed systems"", ""Caching"", ""Locks"", ""Real-time data platform""]",Java Library,https://github.com/redisson/redisson
proxy_pool,"A Python ProxyPool for web spider, providing a pool of proxy IPs for crawling. It utilizes Redis for storage and handles HTTP requests. The project is designed to facilitate web scraping by managing proxy IPs. It is built using Python.","[""Python"", ""Redis""]","[""Proxy IP management"", ""Web crawling"", ""HTTP request handling""]","[""Caching"", ""Web scraping""]",Web scraping tool,https://github.com/jhao104/proxy_pool
RedisDesktopManager,"A GUI application for Redis, formerly known as RedisDesktopManager, now joining forces with Redis to enhance developer experience and productivity. It provides a graphical interface to interact with Redis. The project is now part of the Redis ecosystem. The application aims to simplify Redis development.","[""C++""]","[""GUI for Redis"", ""Redis interaction""]","[""Redis"", ""GUI Application""]",Database Tool,https://github.com/redis/RedisDesktopManager
source-code-hunter,"This project analyzes and explores the underlying implementation principles of mainstream technologies in the internet industry from a source code perspective, aiming to help developers improve their technical depth. It currently covers Spring, Mybatis, Netty, Dubbo, Redis, and Tomcat.","[""Java"", ""Spring"", ""Mybatis"", ""Netty"", ""Dubbo"", ""Redis""]","[""Source code analysis"", ""Framework implementation""]","[""Source code analysis""]",Technical analysis,https://github.com/doocs/source-code-hunter
go-redis,"A Redis client for the Go programming language, providing an interface to interact with Redis databases.","[""Go"", ""Redis""]","[""Redis client"", ""Redis cluster support""]","[""Redis"", ""Client-Server Architecture""]",Database Client,https://github.com/redis/go-redis
node-redis,"Node-Redis is a modern, high performance Redis client for Node.js, built with TypeScript.","[""Node.js"", ""TypeScript"", ""Redis""]","[""Redis client"", ""Redis cluster support""]","[""Redis"", ""Client-Server Architecture""]",Database Client,https://github.com/redis/node-redis
zheng,"A distributed agile development system architecture based on Spring, SpringMVC, and Mybatis, providing a set of public microservice modules, including permission management, content management, and user management. It supports service governance, monitoring, and tracking, aiming to provide a comprehensive J2EE enterprise-level development solution for small and medium-sized enterprises.","[""Java"", ""Spring"", ""SpringMVC"", ""Mybatis""]","[""Permission management"", ""Content management"", ""User management"", ""Payment center"", ""Storage system"", ""Configuration center"", ""Log analysis"", ""Task and notification management""]","[""Microservices"", ""Distributed system"", ""Single sign-on"", ""Service governance"", ""Monitoring"", ""Tracking""]",Enterprise software,https://github.com/shuzheng/zheng
ioredis,"A robust, performance-focused, and full-featured Redis client for Node.js, built with TypeScript.","[""TypeScript"", ""Node.js"", ""Redis""]","[""Redis client"", ""Redis cluster support"", ""Redis sentinel support""]","[""Redis"", ""Redis cluster"", ""Redis sentinel""]",Database Client,https://github.com/redis/ioredis
juicefs,"JuiceFS is a distributed POSIX file system built on top of Redis and S3, designed for big data and cloud-native applications.","[""Go"", ""Redis"", ""S3""]","[""Distributed file system"", ""POSIX compatibility""]","[""Distributed systems"", ""Cloud storage"", ""Object storage""]",File system,https://github.com/juicedata/juicefs
redis-py,"Redis Python client, providing a Python interface to the Redis key-value store. It allows for interaction with Redis, including Redis Cluster. The client is designed for use with Python applications. It provides an interface to Redis, enabling data storage and retrieval.","[""Python"", ""Redis""]","[""Redis key-value store interaction"", ""Redis Cluster support""]","[""Key-Value Store"", ""In-Memory Data Store""]",Database Client,
asynq,"Asynq is a Go library for queueing tasks and processing them asynchronously with workers, designed to be scalable and easy to get started. It's backed by Redis and provides a simple, reliable, and efficient distributed task queue. Asynq allows clients to put tasks on a queue and process them asynchronously with workers. It is suitable for background jobs and asynchronous tasks.","[""Go"", ""Redis""]","[""distributed task queue"", ""asynchronous task processing"", ""worker pool""]","[""Asynchronous Tasks"", ""Task Queue"", ""Worker Pool"", ""Scalability""]",Library,https://github.com/hibiken/asynq
codis,"Codis is a proxy-based high performance Redis cluster solution written in Go, supporting pipeline and dynamic scaling. It is production-ready and widely used in many companies. Codis provides features like resharding without restarting the cluster and pipeline. It is an alternative to Twemproxy and Redis Cluster.","[""Go"", ""Redis"", ""NoSQL""]","[""Proxy-based Redis cluster"", ""Dynamic scaling"", ""Pipeline"", ""Resharding without restarting cluster""]","[""Clustering"", ""Distributed Systems"", ""Caching"", ""Scalability""]",Database Cluster Solution,https://github.com/CodisLabs/codis
tiny-rdm,"Tiny RDM is a lightweight Redis GUI client for Mac, Windows, and Linux, with a web version deployable via Docker. It is built using Vue and provides a modern, colorful interface. The project supports multiple platforms and has a web version. It is a Redis desktop manager with a simple and intuitive design.","[""Vue"", ""Go"", ""Redis""]","[""Redis GUI client"", ""Web version"", ""Cross-platform support""]","[""Redis"", ""Docker"", ""GUI"", ""Desktop application""]",Database client,https://github.com/tiny-craft/tiny-rdm
KeyDB,"KeyDB is a multithreaded fork of Redis, providing major improvements and consolidating Open Source and Enterprise offerings into a single project.","[""C++"", ""Redis""]","[""Multithreading"", ""Fork of Redis""]","[""Database"", ""In-Memory Data Store""]",Database,https://github.com/Snapchat/KeyDB
jedis,"Jedis is a high-performance Redis Java client designed for ease of use, providing a simple and efficient way to interact with Redis. It is suitable for applications that require a reliable and efficient Redis connection. Jedis supports various Redis features, including Redis Cluster. For object mapping, it recommends using redis-om-spring.","[""Java""]","[""Redis connection"", ""Redis Cluster support""]","[""Redis"", ""Redis Cluster""]",Database Client,https://github.com/redis/jedis
twemproxy,"twemproxy is a fast and lightweight proxy for memcached and redis protocols, designed to reduce connections to caching servers and enable horizontal scaling of distributed caching architecture.","[""C"", ""memcached"", ""redis""]","[""proxying"", ""protocol pipelining"", ""sharding""]","[""Caching"", ""Distributed Architecture""]",Proxy Server,https://github.com/twitter/twemproxy
noodle,"Noodle is a productivity tool designed for students, aiming to provide a singular app for all their needs. It is currently in active development towards a minimal viable product (MVP). The project is a work-in-progress and not yet finished. Its purpose is to help students stay on track with their studies.","[""TypeScript"", ""JavaScript"", ""Next.js"", ""React"", ""Redis"", ""SQLite"", ""Tailwind CSS""]","[""Productivity tracking"", ""Student-focused features""]","[""Productivity Tool"", ""UI Design""]",Productivity Application,https://github.com/noodle-run/noodle
ohmyzsh,"A community-driven framework for managing zsh configuration, including plugins and themes. It provides an auto-update tool for easy updates. The project has a large collection of plugins and themes for various technologies. It aims to enhance productivity in the terminal.","[""Shell""]","[""Plugin management"", ""Theme management"", ""Auto-update tool""]","[""CLI"", ""Plugin framework""]",Productivity tool,https://github.com/ohmyzsh/ohmyzsh
uptime-kuma,"Uptime Kuma is a self-hosted monitoring tool built with JavaScript, providing an easy-to-use interface for monitoring uptime. It is a single-page app with a responsive design. The tool utilizes WebSockets for real-time updates and is designed to be self-hosted. It offers a simple and intuitive way to monitor uptime.","[""JavaScript"", ""Socket.io""]","[""Uptime monitoring"", ""Real-time updates"", ""Responsive design""]","[""Self-hosted"", ""Single-page app"", ""WebSockets"", ""Monitoring""]",Monitoring tool,https://github.com/louislam/uptime-kuma
devops-exercises,"A repository containing questions and exercises on various technical topics related to DevOps and SRE, with a focus on preparing for interviews. It covers a wide range of technologies and concepts, including Linux, Jenkins, AWS, and Kubernetes. The repository has 2624 exercises and questions, and users can contribute by submitting pull requests. It's a useful resource for those pursuing a career as a DevOps engineer.","[""Python"", ""Ansible"", ""AWS"", ""Azure"", ""GCP"", ""Docker"", ""Kubernetes"", ""Terraform"", ""OpenStack"", ""SQL"", ""NoSQL"", ""Linux"", ""Jenkins"", ""Prometheus""]","[""Interview questions and exercises"", ""DevOps and SRE topics"", ""Multi-cloud support""]","[""CI/CD"", ""Containerization"", ""Orchestration"", ""Cloud Computing"", ""Monitoring"", ""Automation""]",DevOps,https://github.com/bregman-arie/devops-exercises
moby,The Moby Project is a collaborative project for the container ecosystem to assemble container-based systems. It provides a toolkit for assembling custom container-based systems and a community for experimentation and exchange. Moby is an open-source project created by Docker to enable and accelerate software containerization.,"[""Go"", ""Golang"", ""Docker""]","[""container-based systems"", ""toolkit components""]","[""Containerization"", ""Docker"", ""Microservices""]",Containerization Platform,https://github.com/moby/moby
